id,name,originalPrice,discountedPrice,description,category,rating,reviews,createdAt,updatedAt,sku,quantity,media,image
16,Elegant White Clover Hair Clips.,89.00,45.00,"These sophisticated long drop hair clips feature four interconnected white clover motifs set in a shimmering gold-toned border. They offer a refined, timeless accessory perfect for adding a touch of grace to any look.",Hairclips,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:07:45.621+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692465/saajjewels_products/ecemku53ghouls4leqdw.jpg"",""type"":""image"",""public_id"":""saajjewels_products/ecemku53ghouls4leqdw""}]",
17,Pistachio Pearl Hair clips,89.00,45.00,"The Pistachio Pearl hairclip are a playful yet elegant addition to any outfit. Featuring a vibrant pistachio enamel setting accented with delicate faux pearls and sparkling clear stones. Lightweight and eye-catching, these hairclips are perfect for adding a pop of color and classic charm to your look.",Hairclips,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:07:57.251+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692476/saajjewels_products/my9ydwidmlkkvm30dyel.jpg"",""type"":""image"",""public_id"":""saajjewels_products/my9ydwidmlkkvm30dyel""}]",
18,Petal Drop Clips,89.00,45.00,"A unique accessory featuring three linked circles in glitter gold, mint green, and navy blue. Perfect for a modern, bold look.",Hairclips,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:08:34.874+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692514/saajjewels_products/lu2zmydtzncnwktjch5i.jpg"",""type"":""image"",""public_id"":""saajjewels_products/lu2zmydtzncnwktjch5i""}]",
19,Sky Drop Clips,89.00,45.00,"A graceful accessory featuring four cascading light blue floral motifs bordered in delicate, sparkling gold. A timeless, refined piece for adding a fresh pop of color to any hairstyle.",Hairclips,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:08:54.117+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692533/saajjewels_products/qgyzmfkcgxe01x3xxyif.jpg"",""type"":""image"",""public_id"":""saajjewels_products/qgyzmfkcgxe01x3xxyif""}]",
20,Pearl Charm Clips,89.00,45.00,"A sophisticated accessory featuring four cascading cream floral motifs bordered in delicate, sparkling gold. A timeless, refined piece for adding grace to any hairstyle",Hairclips,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:09:14.357+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692553/saajjewels_products/s30fqy4ueynb8niahrs9.jpg"",""type"":""image"",""public_id"":""saajjewels_products/s30fqy4ueynb8niahrs9""}]",
21,Tiny Heart Clutcher Set,89.00,45.00,"A charming set of six small, heart-shaped hair claws in vibrant pastel colors. Perfect for securing small sections of hair, creating cute accents, or for young children.",Hairclips,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:09:55.592+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692595/saajjewels_products/ioulfovlrskhpc59ndxh.jpg"",""type"":""image"",""public_id"":""saajjewels_products/ioulfovlrskhpc59ndxh""}]",
22,Sunburst Flower Claw,79.00,39.00,"A gorgeous, large claw clip featuring a five-petal flower design in a rich, warm amber hue. Perfect for a secure hold and a chic, feminine accent to any hairstyle.",Claws,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:18:09.931+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765693089/saajjewels_products/wkz6mpgy96kwivyeonpx.jpg"",""type"":""image"",""public_id"":""saajjewels_products/wkz6mpgy96kwivyeonpx""}]",
23,Sunshine Petal Claw,79.00,39.00,"A gorgeous, large claw clip featuring a five-petal flower design in a rich, sunny yellow. Perfect for a secure hold and a chic, feminine accent to any hairstyle.",Claws,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:18:48.155+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765693127/saajjewels_products/ipexk4ikjbtpi3j2sglw.jpg"",""type"":""image"",""public_id"":""saajjewels_products/ipexk4ikjbtpi3j2sglw""}]",
24,Petal Claw,79.00,39.00,"Elegant large claw clip featuring a five-petal flower design in a creamy ivory shade. An easy, sophisticated accent for any hairstyle",Claws,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:19:12.896+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765693152/saajjewels_products/xoqq6imlgkvgxalcjzq9.jpg"",""type"":""image"",""public_id"":""saajjewels_products/xoqq6imlgkvgxalcjzq9""}]",
25,Mint Petal Claw,79.00,39.00,"A gorgeous, large claw clip featuring a beautiful five-petal flower design. Provides a secure, strong hold while adding a chic, feminine accent to any hairstyle.",Claws,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:19:23.739+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765693163/saajjewels_products/gpilzftj6sctqseb8v8n.jpg"",""type"":""image"",""public_id"":""saajjewels_products/gpilzftj6sctqseb8v8n""}]",
26,Bunny's clutcher/ clips set,49.00,39.00,"A set of small, charming hair claws in fun pastel colors (pink, blue, cream, etc.). Features both plain and butterfly/bow designs. Perfect for creating small accents, securing baby hair, or for young children",Hairclips,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:16:02.333+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692961/saajjewels_products/b0bc2nehsi3lsqvfmcnh.jpg"",""type"":""image"",""public_id"":""saajjewels_products/b0bc2nehsi3lsqvfmcnh""}]",
27,Luxurious Red Satin Scrunchie.,79.00,39.00,"Crafted from smooth, high-quality satin, this scrunchie is gentle on hair while adding a vibrant, glossy pop of color. Perfect for a chic ponytail or wrist accessory.",Scrunchies,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:16:39.218+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692998/saajjewels_products/b4njhzvrglcqwoocfcsn.jpg"",""type"":""image"",""public_id"":""saajjewels_products/b4njhzvrglcqwoocfcsn""}]",
28,Luxurious Yellow Satin Scrunchie.,79.00,39.00,"Crafted from smooth, high-quality satin, this scrunchie is gentle on your hair and adds a vibrant, glossy finish. Perfect for a chic ponytail or wrist accessory",Scrunchies,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:16:28.099+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692987/saajjewels_products/ftpoer4m0mf4wkjsrnee.jpg"",""type"":""image"",""public_id"":""saajjewels_products/ftpoer4m0mf4wkjsrnee""}]",
29,Luxurious Royal Blue Satin Scrunchie,79.00,39.00,"Crafted from smooth, high-quality satin, this scrunchie is gentle on your hair and adds a vibrant, glossy finish. Perfect for a chic ponytail or wrist accessory.",Scrunchies,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:06:48.179+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692407/saajjewels_products/tjtzsvvmco1lwvlnzntg.jpg"",""type"":""image"",""public_id"":""saajjewels_products/tjtzsvvmco1lwvlnzntg""}]",
30,Luxurious Cream White Satin Scrunchie,79.00,39.00,"Crafted from smooth, high-quality satin, this scrunchie is gentle on your hair, reduces breakage, and adds a vibrant, glossy finish. Perfect for a chic ponytail or wrist accessory.",Scrunchies,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:04:33+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692272/saajjewels_products/uh5cho4f0c67b7drrt7i.jpg"",""type"":""image"",""public_id"":""saajjewels_products/uh5cho4f0c67b7drrt7i""}]",
31,Luxurious Black Satin Scrunchie,79.00,39.00,"Crafted from smooth, high-quality satin, this scrunchie is gentle on your hair, reduces breakage, and adds a vibrant, glossy finish. Perfect for a chic ponytail or wrist accessory.",Scrunchies,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:07:06.301+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692425/saajjewels_products/gz1atcjnsevmfkhc6xz0.jpg"",""type"":""image"",""public_id"":""saajjewels_products/gz1atcjnsevmfkhc6xz0""}]",
32,Elegant Baby Pink Hair Bow Clip,109.00,59.00,"Add a touch of elegance to your everyday look with this Baby pink satin organza hair bow, featuring a sparkling crystal centerpiece. Perfect for parties, casual outings, or gifting!",Hairbows,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:13:41.267+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692819/saajjewels_products/lcbpmvfna1unykyvkkci.jpg"",""type"":""image"",""public_id"":""saajjewels_products/lcbpmvfna1unykyvkkci""}]",
33,Elegant Golden bronze  Hair Bow Clip,109.00,59.00,"Add a touch of elegance to your everyday look with this Golden bronze satin organza hair bow, featuring a sparkling crystal centerpiece. Perfect for parties, casual outings, or gifting!",Hairbows,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:13:28.043+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692807/saajjewels_products/bzbxr1hbgjq3cdiyirwv.jpg"",""type"":""image"",""public_id"":""saajjewels_products/bzbxr1hbgjq3cdiyirwv""}]",
34,Elegant Silver/ Grey Hair Bow Clip,109.00,59.00,"Add a touch of elegance to your everyday look with this Silver/Grey satin organza hair bow, featuring a sparkling crystal centerpiece. Perfect for parties, casual outings, or gifting!",Hairbows,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:13:14.891+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692794/saajjewels_products/xfh81ry0dbps681sfpbl.jpg"",""type"":""image"",""public_id"":""saajjewels_products/xfh81ry0dbps681sfpbl""}]",
35,Elegant Classic BlackHair Bow Clip,109.00,59.00,"Add a touch of elegance to your everyday look with this Classic black  satin organza hair bow, featuring a sparkling crystal centerpiece. Perfect for parties, casual outings, or gifting!",Hairbows,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:12:59.852+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692779/saajjewels_products/oth0wchinuuza0ihxrca.jpg"",""type"":""image"",""public_id"":""saajjewels_products/oth0wchinuuza0ihxrca""}]",
36,Elegant  Forest Green Hair Bow Clip,109.00,59.00,"Add a touch of elegance to your everyday look with this  Forest Green satin organza hair bow, featuring a sparkling crystal centerpiece. Perfect for parties, casual outings, or gifting!",Hairbows,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:12:45.823+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692764/saajjewels_products/uviguyb5bn9ki5bejqit.jpg"",""type"":""image"",""public_id"":""saajjewels_products/uviguyb5bn9ki5bejqit""}]",
37,Elegant Peach  Hair Bow Clip,109.00,59.00,"Add a touch of elegance to your everyday look with this Peach satin organza hair bow, featuring a sparkling crystal centerpiece. Perfect for parties, casual outings, or gifting!",Hairbows,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:13:55.518+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692835/saajjewels_products/t5xkic1uxrbwxspygyb3.jpg"",""type"":""image"",""public_id"":""saajjewels_products/t5xkic1uxrbwxspygyb3""}]",
38,Elegant Pure White Hair Bow Clip,109.00,59.00,"Add a touch of elegance to your everyday look with this Pure White  satin organza hair bow, featuring a sparkling crystal centerpiece. Perfect for parties, casual outings, or gifting",Hairbows,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:12:14.953+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692734/saajjewels_products/kag3mxeewslrlfocjyww.jpg"",""type"":""image"",""public_id"":""saajjewels_products/kag3mxeewslrlfocjyww""}]",
44,Traditional Oxidized Jhumka Earrings.,99.00,45.00,"Intricately crafted with an oxidized silver finish, featuring a beautiful peacock-inspired stud and a classic, beaded jhumka drop. Perfect for adding a touch of timeless, ethnic elegance to any look.",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 20:58:19.931+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765832299/saajjewels_products/ioxgfarod5q0uyeo3kmd.jpg"",""type"":""image"",""public_id"":""saajjewels_products/ioxgfarod5q0uyeo3kmd""}]",
45,Elephant oxidised Jhumka,99.00,45.00,"Intricately designed oxidized jhumka earrings with a majestic elephant stud and a detailed, classic bell drop. A perfect blend of tradition and charm",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:02:42.372+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765832561/saajjewels_products/vcpxsvo3pcivsa2n7peo.jpg"",""type"":""image"",""public_id"":""saajjewels_products/vcpxsvo3pcivsa2n7peo""}]",
46,Oxidized Ethnic Earrings,99.00,45.00,"Unique oxidized silver earrings featuring a striking geometric kite shape, floral motif, and dangling ghungroo beads. Modern yet rustic",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:02:59.764+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765832579/saajjewels_products/yvv2kmi8h9t8wjvzv3lu.jpg"",""type"":""image"",""public_id"":""saajjewels_products/yvv2kmi8h9t8wjvzv3lu""}]",
47,Peacock Jhumka Drops,99.00,45.00,"Traditional oxidized silver jhumkas featuring an elegant peacock stud and a classic, beaded bell drop. Adds a touch of timeless, ethnic elegance",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:06:55.124+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765832814/saajjewels_products/urnqlksp7jxx7qetyb4w.jpg"",""type"":""image"",""public_id"":""saajjewels_products/urnqlksp7jxx7qetyb4w""}]",
48,Mayuri Oxidised Jhumka,99.00,45.00,Shine a little brighter with these beautiful oxidized silver jhumkas. Featuring a vibrant peacock feather enamel design framed by sparkling Kundan work. The intricate detailing and delicate silver drops make this pair perfect for adding a touch of traditional charm to any outfit. Style: Stud Jhumka. Material: Oxidised Metal with Enamel and Kundan accents,Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:07:56.224+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765832875/saajjewels_products/pmxhqc6j6lvpiqmgsznk.jpg"",""type"":""image"",""public_id"":""saajjewels_products/pmxhqc6j6lvpiqmgsznk""}]",
49,Mirror Glow Jhumka,99.00,45.00,"Reflect your beautiful style with these traditional oxidized jhumkas. The central shisha (mirror) work is framed by intricate silver detailing, creating a classic, vintage appeal. Finished with delicate hanging bells, this pair is essential for ethnic wear and festive occasions",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:09:53.577+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765832992/saajjewels_products/gtjuoczb0t2qtpfmg1i3.jpg"",""type"":""image"",""public_id"":""saajjewels_products/gtjuoczb0t2qtpfmg1i3""}]",
50,Chidiya Oxidised Drop Jhumka,99.00,45.00,"A beautiful blend of nature and tradition. These oxidized silver jhumkas feature an intricate bird motif within an ornate frame. The design is finished with classic hanging silver bells for a lovely, subtle jingle. Perfect for adding a unique, vintage touch to your ethnic and fusion wear",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:10:24.689+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765833023/saajjewels_products/yd6lcqvprjp6igwdb7eh.jpg"",""type"":""image"",""public_id"":""saajjewels_products/yd6lcqvprjp6igwdb7eh""}]",
51,Sunburst Jhumka,99.00,45.00,"Make a statement with the Suraj Kund Jhumka. It pairs a bold, sunburst oxidized stud with a perfectly sized, highly detailed traditional bell jhumka. This piece is a must-have for those who love classic, high-impact ethnic jewellery",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:13:23.532+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765833202/saajjewels_products/znndmui4hyntf7owplob.jpg"",""type"":""image"",""public_id"":""saajjewels_products/znndmui4hyntf7owplob""}]",
52,Ghera classic zhumka,99.00,45.00,"Timeless elegance redefined. These beautiful oxidized earrings feature a decorative woven circle stud connected to a perfect, intricately designed bell jhumka. An essential piece for daily wear or classic ethnic styling.",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:13:41.159+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765833220/saajjewels_products/nypviw0gskwaayvlkhlo.jpg"",""type"":""image"",""public_id"":""saajjewels_products/nypviw0gskwaayvlkhlo""}]",
53,Mayuri chakra hoops,99.00,45.00,Make a statement with these striking oxidized hoop earrings. They feature a vibrant peacock eye enamel center framed by intricate metalwork and finished with a bold ring of silver ghungroo drops. Perfect for festive and heavy ethnic looks.,Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:14:10.568+00,,2,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765833249/saajjewels_products/u7tdi3iozlo5t2lhqdk5.jpg"",""type"":""image"",""public_id"":""saajjewels_products/u7tdi3iozlo5t2lhqdk5""}]",
54,Fern Oxidised Jhumka,99.00,45.00,"A stunning pair of oxidised silver-plated earrings that blend traditional charm with a modern leaf-inspired design. These beautiful earrings feature an intricate Pankh (feather/leaf) top, finished with delicate, dangling mini-jhumkas that chime softly with every movement. They are lightweight, comfortable, and perfect for adding a touch of bohemian or ethnic flair to any outfit, from daily wear to festive occasions",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:14:39.939+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765833277/saajjewels_products/x9rpepf1h0bva3sysfs3.jpg"",""type"":""image"",""public_id"":""saajjewels_products/x9rpepf1h0bva3sysfs3""}]",
55,Dangler Fusion Jhumka,99.00,45.00,"These earrings feature a beautifully detailed, wire-wrapped outer hoop that perfectly frames a traditional, dangling oxidised jhumka bell inside. They offer the perfect balance of bohemian flair and ethnic charm, ensuring you stand out. Lightweight and designed to catch the eye, they are ideal for party wear, festivals, or adding drama to your everyday look.",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:14:59.575+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765833298/saajjewels_products/z87ldswoykwtpzboiisv.jpg"",""type"":""image"",""public_id"":""saajjewels_products/z87ldswoykwtpzboiisv""}]",
56,Pink stone drops,99.00,45.00,"These elegant earrings feature a brilliant hot pink stone set in an intricate oxidised silver frame. The base showcases delicate filigree work accented with tiny white pearls and ruby-toned beads, creating a rich, traditional appeal. Perfect for adding a festive splash of colour and elegance to any ethnic or fusion ensemble.",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:15:15.207+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765833314/saajjewels_products/aihgiszlvhdukepfhiei.jpg"",""type"":""image"",""public_id"":""saajjewels_products/aihgiszlvhdukepfhiei""}]",
57,Lavender Meher stone Drops,99.00,45.00,"A truly elegant pair of oxidised silver-plated earrings featuring a gorgeous, colorful stone at the center of a graceful, arched frame. The design is accented with delicate miniature pearls that dangle softly at the base. These classic stud-style earrings are perfect for adding a touch of traditional class and color to your festive or formal wear.",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:15:31.571+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765833330/saajjewels_products/wocagojotji6nznmch5s.jpg"",""type"":""image"",""public_id"":""saajjewels_products/wocagojotji6nznmch5s""}]",
58,Saffron Sun stone drops,99.00,45.00,"Embrace timeless ethnic style with our Saffron Sun stone drops These captivating earrings feature a bold, sunny yellow stone set in intricately carved antique silver-finish metal. Delicate white beads and pearls dangle beneath, adding a touch of traditional charm and movement. Perfect for Kurtis, Sarees, or adding a pop of color to any casual look",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:15:47.186+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765833346/saajjewels_products/abycvzhunc1sezgnzadx.jpg"",""type"":""image"",""public_id"":""saajjewels_products/abycvzhunc1sezgnzadx""}]",
59,Midnight Onyx Oxidised Jhumka,99.00,45.00,"Discover sophisticated elegance with our Midnight Onyx Oxidised Jhumka. These captivating earrings feature a deep black stone set in an intricately crafted antique silver-finish frame. The dark, bold design is beautifully contrasted by delicate white pearl drops, adding a touch of classic charm. A versatile piece perfect for evening wear, festive occasions, or styling with contemporary fusion outfits.",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:16:03.838+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765833363/saajjewels_products/urueewbcddf8bzvxs8sh.jpg"",""type"":""image"",""public_id"":""saajjewels_products/urueewbcddf8bzvxs8sh""}]",
60,Ocean teardrops earring,99.00,45.00,"Adorn yourself with the stunning beauty of our Ocean teardrops earring Featuring a graceful peacock design in antique silver finish, these earrings frame a captivating Aqua Blue/Turquoise colored stone. Delicate white pearls dangle below, completing this traditional yet striking look. Perfect for adding a festive touch to ethnic wear or a unique flair to fusion outfits.",Jhumka,4.50,0,2025-11-11 10:03:44.605+00,2025-12-15 21:16:32.102+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765833391/saajjewels_products/oajbxclvvysxpzwzlb7o.jpg"",""type"":""image"",""public_id"":""saajjewels_products/oajbxclvvysxpzwzlb7o""}]",
